Version 1,,,Version 2,,,Version 3,
Date,Sale,,Date,Sale,,Date,Sale
3/1/2008,3,,10/1/2012,50,,6/1/2016,35
6/1/2008,27,,11/1/2012,45,,7/1/2016,10
9/1/2008,82,,12/1/2012,10,,9/1/2016,25
10/1/2008,44,,1/1/2013,55,,11/1/2016,85
11/1/2008,33,,2/1/2013,30,,12/1/2016,27
12/1/2008,88,,3/1/2013,63,,1/1/2017,20
1/1/2009,57,,4/1/2013,50,,2/1/2017,82
2/1/2009,29,,5/1/2013,12,,3/1/2017,50
3/1/2009,129,,6/1/2013,62,,4/1/2017,50
4/1/2009,97,,8/1/2013,51,,5/1/2017,96
5/1/2009,53,,9/1/2013,124,,6/1/2017,47
6/1/2009,90,,10/1/2013,105,,7/1/2017,20
7/1/2009,94,,11/1/2013,75,,8/1/2017,33
9/1/2009,142,,12/1/2013,40,,9/1/2017,35
10/1/2009,130,,1/1/2014,65,,10/1/2017,215
11/1/2009,238,,2/1/2014,45,,11/1/2017,152
12/1/2009,77,,3/1/2014,10,,12/1/2017,47
1/1/2010,107,,4/1/2014,97,,1/1/2018,38
2/1/2010,71,,6/1/2014,40,,2/1/2018,52
3/1/2010,83,,7/1/2014,10,,3/1/2018,39
4/1/2010,98,,8/1/2014,15,,4/1/2018,76
5/1/2010,138,,9/1/2014,40,,5/1/2018,80
6/1/2010,67,,10/1/2014,38,,6/1/2018,60
7/1/2010,36,,11/1/2014,95,,8/1/2018,57
8/1/2010,43,,12/1/2014,20,,9/1/2018,102
9/1/2010,92,,1/1/2015,57,,10/1/2018,115
10/1/2010,84,,2/1/2015,20,,11/1/2018,92
11/1/2010,105,,3/1/2015,93,,12/1/2018,15
12/1/2010,65,,4/1/2015,69,,1/1/2019,72
1/1/2011,110,,5/1/2015,57,,2/1/2019,39
2/1/2011,101,,6/1/2015,187,,3/1/2019,44
3/1/2011,45,,8/1/2015,65,,4/1/2019,42
4/1/2011,76,,9/1/2015,138,,5/1/2019,53
5/1/2011,87,,10/1/2015,176,,6/1/2019,10
6/1/2011,108,,11/1/2015,90,,7/1/2019,25
7/1/2011,14,,12/1/2015,30,,8/1/2019,10
8/1/2011,32,,1/1/2016,63,,9/1/2019,45
9/1/2011,86,,2/1/2016,105,,10/1/2019,10
10/1/2011,78,,3/1/2016,20,,11/1/2019,13
11/1/2011,58,,4/1/2016,130,,12/1/2019,5
12/1/2011,48,,5/1/2016,85,,,
1/1/2012,54,,6/1/2016,37,,,
2/1/2012,76,,7/1/2016,25,,,
3/1/2012,70,,8/1/2016,139,,,
4/1/2012,24,,9/1/2016,68,,,
5/1/2012,62,,10/1/2016,62,,,
6/1/2012,56,,11/1/2016,78,,,
9/1/2012,76,,12/1/2016,35,,,
10/1/2012,55,,2/1/2017,5,,,
11/1/2012,50,,3/1/2017,26,,,
1/1/2013,18,,5/1/2017,15,,,
3/1/2013,10,,6/1/2017,13,,,
4/1/2013,14,,,,,,
5/1/2013,2,,,,,,
7/1/2013,4,,,,,,
9/1/2013,19,,,,,,
10/1/2013,14,,,,,,
11/1/2013,20,,,,,,
12/1/2013,25,,,,,,
1/1/2014,3,,,,,,
2/1/2014,4,,,,,,
